3600.10,0.00,1.00
4500.10,0.00,0.99
4800.10,0.00,1.00
6000.10,0.00,0.99
6300.10,0.00,0.99
7200.10,0.00,0.96
7500.10,0.02,0.99
7800.10,0.08,0.98
8100.10,0.24,0.93
9000.10,0.00,0.98
9300.10,0.01,0.99
11400.10,0.00,0.98
11700.10,0.02,0.98
13200.10,0.00,0.97
13500.10,0.00,1.00
15300.10,0.00,0.98
15600.10,0.01,0.99
16200.10,0.00,0.97
16500.10,0.01,0.99
17100.10,0.00,0.99
17400.10,0.01,0.99
19200.10,0.00,0.98
19500.10,0.04,0.98
19800.10,0.44,0.94
20100.10,0.75,0.90
20400.10,0.90,0.90
20700.10,0.76,0.91
21000.10,0.94,0.90
21300.10,0.93,0.91
21600.10,0.89,0.91
22200.10,0.00,0.99
22500.10,0.00,0.99
23400.10,0.00,0.97
23700.10,0.01,0.99
26100.10,0.00,0.98
26400.10,0.01,0.99
26700.10,0.07,0.96
27000.10,0.21,0.92
27300.10,0.25,0.93
27600.10,0.29,0.92
28200.10,0.00,0.91
28500.10,0.08,0.94
28800.10,0.06,0.88
31200.10,0.00,1.00
31500.10,0.00,1.00
32400.10,0.00,0.96
32700.10,0.03,0.98
33000.10,0.20,0.97
33300.10,0.28,0.95
33600.10,0.32,0.93
34500.10,0.00,0.99
34800.10,0.01,1.00
35100.10,0.07,0.98
35400.10,0.38,0.79
35700.10,0.00,0.98
36000.10,0.00,0.98
36600.10,0.00,0.98
36900.10,0.02,0.98
37200.10,0.10,0.96
37500.10,0.39,0.79
37800.10,0.00,0.99
38100.10,0.01,0.99
39000.10,0.00,0.98
39300.10,0.00,0.99
39900.10,0.00,0.99
40200.10,0.01,0.99
41100.10,0.00,0.99
41400.10,0.01,0.98
41700.10,0.00,0.98
42000.10,0.01,0.99
42300.10,0.08,0.98
43200.10,0.00,0.98
43500.10,0.01,0.99
43800.10,0.35,0.87
44100.10,0.36,0.86
44400.10,0.32,0.85
45000.10,0.00,0.95
45300.10,0.02,0.94
45600.10,0.11,0.95
45900.10,0.13,0.91
47700.10,0.00,0.98
48000.10,0.01,0.99
48300.10,0.10,0.95
48600.10,0.13,0.94
49500.10,0.00,0.98
49800.10,0.03,0.98
50100.10,0.08,0.96
50400.10,0.15,0.94
51000.10,0.00,0.97
51300.10,0.04,0.97
51600.10,0.06,0.97
52200.10,0.00,0.99
52500.10,0.01,0.99
52800.10,0.00,0.98
53100.10,0.02,0.98
53400.10,0.07,0.95
53700.10,0.29,0.85
55200.10,0.00,0.99
55500.10,0.00,0.99
56100.10,0.00,0.97
56400.10,0.02,0.98
56700.10,0.05,0.96
57000.10,0.22,0.91
59400.10,0.00,0.99
59700.10,0.01,1.00
60300.10,0.00,0.97
60600.10,0.02,0.97
61800.10,0.00,0.99
62100.10,0.01,0.99
63000.10,0.00,0.98
63300.10,0.02,0.99
64200.10,0.00,0.99
64500.10,0.01,0.99
64800.10,0.00,0.98
65100.10,0.01,0.99
66300.10,0.00,0.99
66600.10,0.01,0.99
66900.10,0.20,0.97
70500.10,0.00,0.97
70800.10,0.00,0.99
71100.10,0.00,0.95
71400.10,0.02,0.95
71700.10,0.08,0.95
72000.10,0.20,0.87
72300.10,0.00,0.96
72600.10,0.04,0.96
72900.10,0.24,0.90
73200.10,0.00,0.97
73500.10,0.01,0.98
73800.10,0.10,0.95
74100.10,0.23,0.91
74400.10,0.36,0.87
74700.10,0.44,0.87
75000.10,0.31,0.89
76800.10,0.00,0.95
77100.10,0.01,0.95
77400.10,0.00,0.97
77700.10,0.03,0.98
78600.10,0.00,0.99
78900.10,0.00,1.00
79200.10,0.00,0.97
79500.10,0.01,0.97
81600.10,0.00,0.99
81900.10,0.01,0.99
83700.10,0.02,0.97
84000.10,0.12,0.90
85800.10,0.00,0.98
86100.10,0.02,0.99
